timestamp,buyer,seller,symbol_trade,currency,price,quantity,day_trade,trade_notional,day_book,symbol_book,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread,microprice,best_bid_notional,best_ask_notional,imbalance_l1,bid_depth_3,ask_depth_3,trade_vs_mid,trade_vs_bid,trade_vs_ask,trade_side_guess,day,symbol
700,,,ASH_COATED_OSMIUM,XIRECS,9990.0,6,-2,59940.0,-2,ASH_COATED_OSMIUM,9990.0,27.0,,,,,10011.0,27.0,,,,,10000.5,0.0,21.0,10000.5,269730.0,270297.0,0.0,27.0,27.0,-10.5,0.0,-21.0,sell_aggressor,-2,ASH_COATED_OSMIUM
900,,,ASH_COATED_OSMIUM,XIRECS,9998.0,2,-2,19996.0,-2,ASH_COATED_OSMIUM,9993.0,13.0,9990.0,30.0,,,9998.0,8.0,10009.0,13.0,10011.0,30.0,9995.5,0.0,5.0,9996.095238095239,129909.0,79984.0,0.23809523809523808,43.0,51.0,2.5,5.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
2500,,,ASH_COATED_OSMIUM,XIRECS,10011.0,8,-2,80088.0,-2,ASH_COATED_OSMIUM,9992.0,21.0,,,,,10011.0,14.0,,,,,10001.5,0.0,19.0,10003.4,209832.0,140154.0,0.2,21.0,14.0,9.5,19.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
6100,,,ASH_COATED_OSMIUM,XIRECS,10013.0,8,-2,80104.0,-2,ASH_COATED_OSMIUM,9997.0,11.0,9994.0,26.0,,,10013.0,11.0,10015.0,26.0,,,10005.0,0.0,16.0,10005.0,109967.0,110143.0,0.0,37.0,37.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
12900,,,ASH_COATED_OSMIUM,XIRECS,10001.0,9,-2,90009.0,-2,ASH_COATED_OSMIUM,10001.0,10.0,9999.0,20.0,,,,,,,,,10001.0,0.0,,,100010.0,,,30.0,0.0,0.0,0.0,,sell_aggressor,-2,ASH_COATED_OSMIUM
13800,,,ASH_COATED_OSMIUM,XIRECS,10017.0,3,-2,30051.0,-2,ASH_COATED_OSMIUM,9998.0,22.0,,,,,10017.0,13.0,10019.0,22.0,,,10007.5,0.0,19.0,10009.942857142858,219956.0,130221.0,0.2571428571428571,22.0,35.0,9.5,19.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
15000,,,ASH_COATED_OSMIUM,XIRECS,10016.0,3,-2,30048.0,-2,ASH_COATED_OSMIUM,10000.0,10.0,,,,,10016.0,10.0,10018.0,21.0,,,10008.0,0.0,16.0,10008.0,100000.0,100160.0,0.0,10.0,31.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
15100,,,ASH_COATED_OSMIUM,XIRECS,10016.0,5,-2,50080.0,-2,ASH_COATED_OSMIUM,10000.0,15.0,9997.0,29.0,,,10016.0,15.0,10018.0,29.0,,,10008.0,0.0,16.0,10008.0,150000.0,150240.0,0.0,44.0,44.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
15900,,,ASH_COATED_OSMIUM,XIRECS,9995.0,9,-2,89955.0,-2,ASH_COATED_OSMIUM,9995.0,25.0,,,,,10014.0,12.0,10016.0,25.0,,,10004.5,0.0,19.0,10007.837837837838,249875.0,120168.0,0.35135135135135137,25.0,37.0,-9.5,0.0,-19.0,sell_aggressor,-2,ASH_COATED_OSMIUM
17400,,,ASH_COATED_OSMIUM,XIRECS,10014.0,4,-2,40056.0,-2,ASH_COATED_OSMIUM,9998.0,10.0,9995.0,26.0,,,10014.0,10.0,10017.0,26.0,,,10006.0,0.0,16.0,10006.0,99980.0,100140.0,0.0,36.0,36.0,8.0,16.0,0.0,buy_aggressor,-2,ASH_COATED_OSMIUM
