timestamp,buyer,seller,symbol,currency,price,quantity,day,trade_notional,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price_clean,spread,mid_diff_vs_raw,bid_depth_3,ask_depth_3,imbalance_l1,microprice,trade_vs_mid,trade_vs_bid,trade_vs_ask,trade_side_guess
700,,,ASH_COATED_OSMIUM,XIRECS,9990.0,6,-2,59940.0,9990.0,27.0,,,,,10011.0,27.0,,,,,10000.5,21.0,0.0,27.0,27.0,0.0,10000.5,-10.5,0.0,-21.0,sell_aggressor
900,,,ASH_COATED_OSMIUM,XIRECS,9998.0,2,-2,19996.0,9993.0,13.0,9990.0,30.0,,,9998.0,8.0,10009.0,13.0,10011.0,30.0,9995.5,5.0,0.0,43.0,51.0,0.23809523809523808,9996.095238095239,2.5,5.0,0.0,buy_aggressor
2500,,,ASH_COATED_OSMIUM,XIRECS,10011.0,8,-2,80088.0,9992.0,21.0,,,,,10011.0,14.0,,,,,10001.5,19.0,0.0,21.0,14.0,0.2,10003.4,9.5,19.0,0.0,buy_aggressor
6100,,,ASH_COATED_OSMIUM,XIRECS,10013.0,8,-2,80104.0,9997.0,11.0,9994.0,26.0,,,10013.0,11.0,10015.0,26.0,,,10005.0,16.0,0.0,37.0,37.0,0.0,10005.0,8.0,16.0,0.0,buy_aggressor
12900,,,ASH_COATED_OSMIUM,XIRECS,10001.0,9,-2,90009.0,10001.0,14.0,9998.0,20.0,,,10017.0,14.0,10019.0,20.0,,,10009.0,16.0,0.0,34.0,34.0,0.0,10009.0,-8.0,0.0,-16.0,sell_aggressor
13800,,,ASH_COATED_OSMIUM,XIRECS,10017.0,3,-2,30051.0,9998.0,22.0,,,,,10017.0,13.0,10019.0,22.0,,,10007.5,19.0,0.0,22.0,35.0,0.2571428571428571,10009.942857142858,9.5,19.0,0.0,buy_aggressor
15000,,,ASH_COATED_OSMIUM,XIRECS,10016.0,3,-2,30048.0,10000.0,10.0,,,,,10016.0,10.0,10018.0,21.0,,,10008.0,16.0,0.0,10.0,31.0,0.0,10008.0,8.0,16.0,0.0,buy_aggressor
15100,,,ASH_COATED_OSMIUM,XIRECS,10016.0,5,-2,50080.0,10000.0,15.0,9997.0,29.0,,,10016.0,15.0,10018.0,29.0,,,10008.0,16.0,0.0,44.0,44.0,0.0,10008.0,8.0,16.0,0.0,buy_aggressor
15900,,,ASH_COATED_OSMIUM,XIRECS,9995.0,9,-2,89955.0,9995.0,25.0,,,,,10014.0,12.0,10016.0,25.0,,,10004.5,19.0,0.0,25.0,37.0,0.35135135135135137,10007.837837837838,-9.5,0.0,-19.0,sell_aggressor
17400,,,ASH_COATED_OSMIUM,XIRECS,10014.0,4,-2,40056.0,9998.0,10.0,9995.0,26.0,,,10014.0,10.0,10017.0,26.0,,,10006.0,16.0,0.0,36.0,36.0,0.0,10006.0,8.0,16.0,0.0,buy_aggressor
18400,,,ASH_COATED_OSMIUM,XIRECS,10018.0,4,-2,40072.0,9999.0,11.0,9997.0,20.0,,,10018.0,20.0,,,,,10008.5,19.0,0.0,31.0,20.0,-0.2903225806451613,10005.741935483871,9.5,19.0,0.0,buy_aggressor
24000,,,ASH_COATED_OSMIUM,XIRECS,10013.0,6,-2,60078.0,9997.0,14.0,9994.0,24.0,,,10013.0,14.0,10015.0,24.0,,,10005.0,16.0,0.0,38.0,38.0,0.0,10005.0,8.0,16.0,0.0,buy_aggressor
28700,,,ASH_COATED_OSMIUM,XIRECS,10011.0,2,-2,20022.0,10000.0,4.0,9995.0,10.0,,,10011.0,10.0,10013.0,30.0,,,10005.5,11.0,0.0,14.0,40.0,-0.42857142857142855,10003.142857142857,5.5,11.0,0.0,buy_aggressor
28800,,,ASH_COATED_OSMIUM,XIRECS,10011.0,10,-2,100110.0,9995.0,12.0,9993.0,27.0,,,10011.0,12.0,10014.0,27.0,,,10003.0,16.0,0.0,39.0,39.0,0.0,10003.0,8.0,16.0,0.0,buy_aggressor
30700,,,ASH_COATED_OSMIUM,XIRECS,10012.0,6,-2,60072.0,9996.0,11.0,,,,,10012.0,11.0,10014.0,24.0,,,10004.0,16.0,0.0,11.0,35.0,0.0,10004.0,8.0,16.0,0.0,buy_aggressor
32400,,,ASH_COATED_OSMIUM,XIRECS,10005.0,4,-2,40020.0,10005.0,10.0,9996.0,10.0,9993.0,30.0,10012.0,10.0,,,,,10008.5,7.0,0.0,50.0,10.0,0.0,10008.5,-3.5,0.0,-7.0,sell_aggressor
33000,,,ASH_COATED_OSMIUM,XIRECS,10013.0,9,-2,90117.0,9997.0,13.0,,,,,10013.0,13.0,10015.0,26.0,,,10005.0,16.0,0.0,13.0,39.0,0.0,10005.0,8.0,16.0,0.0,buy_aggressor
36600,,,ASH_COATED_OSMIUM,XIRECS,9997.0,6,-2,59982.0,9997.0,15.0,9994.0,29.0,,,10015.0,29.0,,,,,10006.0,18.0,0.0,44.0,29.0,-0.3181818181818182,10003.136363636364,-9.0,0.0,-18.0,sell_aggressor
36700,,,ASH_COATED_OSMIUM,XIRECS,10012.0,10,-2,100120.0,9996.0,14.0,9994.0,30.0,,,10012.0,14.0,10015.0,30.0,,,10004.0,16.0,0.0,44.0,44.0,0.0,10004.0,8.0,16.0,0.0,buy_aggressor
40500,,,ASH_COATED_OSMIUM,XIRECS,9997.0,2,-2,19994.0,9997.0,14.0,9994.0,29.0,,,10013.0,14.0,,,,,10005.0,16.0,0.0,43.0,14.0,0.0,10005.0,-8.0,0.0,-16.0,sell_aggressor
42000,,,ASH_COATED_OSMIUM,XIRECS,10006.0,4,-2,40024.0,9996.0,11.0,9994.0,20.0,,,10006.0,4.0,10012.0,11.0,,,10001.0,10.0,0.0,31.0,15.0,0.4666666666666667,10003.333333333334,5.0,10.0,0.0,buy_aggressor
44200,,,ASH_COATED_OSMIUM,XIRECS,10014.0,2,-2,20028.0,9995.0,12.0,,,,,10014.0,26.0,,,,,10004.5,19.0,0.0,12.0,26.0,-0.3684210526315789,10001.0,9.5,19.0,0.0,buy_aggressor
45600,,,ASH_COATED_OSMIUM,XIRECS,10011.0,4,-2,40044.0,9995.0,12.0,9992.0,27.0,,,10011.0,12.0,10013.0,27.0,,,10003.0,16.0,0.0,39.0,39.0,0.0,10003.0,8.0,16.0,0.0,buy_aggressor
48000,,,ASH_COATED_OSMIUM,XIRECS,10014.0,10,-2,100140.0,9998.0,13.0,9995.0,28.0,,,10014.0,13.0,10016.0,28.0,,,10006.0,16.0,0.0,41.0,41.0,0.0,10006.0,8.0,16.0,0.0,buy_aggressor
50000,,,ASH_COATED_OSMIUM,XIRECS,10008.0,3,-2,30024.0,10008.0,3.0,9998.0,10.0,,,10014.0,10.0,10017.0,27.0,,,10011.0,6.0,0.0,13.0,37.0,-0.5384615384615384,10009.384615384615,-3.0,0.0,-6.0,sell_aggressor
50800,,,ASH_COATED_OSMIUM,XIRECS,10015.0,5,-2,50075.0,9999.0,13.0,9997.0,30.0,,,10015.0,13.0,,,,,10007.0,16.0,0.0,43.0,13.0,0.0,10007.0,8.0,16.0,0.0,buy_aggressor
51400,,,ASH_COATED_OSMIUM,XIRECS,10018.0,8,-2,80144.0,10000.0,15.0,9997.0,20.0,,,10018.0,20.0,,,,,10009.0,18.0,0.0,35.0,20.0,-0.14285714285714285,10007.714285714286,9.0,18.0,0.0,buy_aggressor
53800,,,ASH_COATED_OSMIUM,XIRECS,9999.0,10,-2,99990.0,9999.0,10.0,,,,,10017.0,24.0,,,,,10008.0,18.0,0.0,10.0,24.0,-0.4117647058823529,10004.29411764706,-9.0,0.0,-18.0,sell_aggressor
55900,,,ASH_COATED_OSMIUM,XIRECS,10013.0,6,-2,60078.0,9995.0,26.0,,,,,10013.0,14.0,10016.0,26.0,,,10004.0,18.0,0.0,26.0,40.0,0.3,10006.7,9.0,18.0,0.0,buy_aggressor
57600,,,ASH_COATED_OSMIUM,XIRECS,9998.0,6,-2,59988.0,9998.0,13.0,9996.0,30.0,,,10014.0,13.0,,,,,10006.0,16.0,0.0,43.0,13.0,0.0,10006.0,-8.0,0.0,-16.0,sell_aggressor
67300,,,ASH_COATED_OSMIUM,XIRECS,9989.0,8,-2,79912.0,9989.0,10.0,9986.0,26.0,,,10005.0,10.0,10007.0,26.0,,,9997.0,16.0,0.0,36.0,36.0,0.0,9997.0,-8.0,0.0,-16.0,sell_aggressor
69400,,,ASH_COATED_OSMIUM,XIRECS,9987.0,5,-2,49935.0,9987.0,15.0,9985.0,20.0,,,10003.0,15.0,10006.0,20.0,,,9995.0,16.0,0.0,35.0,35.0,0.0,9995.0,-8.0,0.0,-16.0,sell_aggressor
71700,,,ASH_COATED_OSMIUM,XIRECS,9990.0,8,-2,79920.0,9990.0,14.0,9987.0,20.0,,,10006.0,14.0,10008.0,20.0,,,9998.0,16.0,0.0,34.0,34.0,0.0,9998.0,-8.0,0.0,-16.0,sell_aggressor
72900,,,ASH_COATED_OSMIUM,XIRECS,9990.0,9,-2,89910.0,9990.0,15.0,9988.0,23.0,,,10006.0,15.0,10009.0,23.0,,,9998.0,16.0,0.0,38.0,38.0,0.0,9998.0,-8.0,0.0,-16.0,sell_aggressor
73900,,,ASH_COATED_OSMIUM,XIRECS,9991.0,7,-2,69937.0,9991.0,13.0,9988.0,26.0,,,10007.0,13.0,10009.0,26.0,,,9999.0,16.0,0.0,39.0,39.0,0.0,9999.0,-8.0,0.0,-16.0,sell_aggressor
74500,,,ASH_COATED_OSMIUM,XIRECS,10007.0,9,-2,90063.0,9991.0,15.0,,,,,10007.0,15.0,10009.0,22.0,,,9999.0,16.0,0.0,15.0,37.0,0.0,9999.0,8.0,16.0,0.0,buy_aggressor
76000,,,ASH_COATED_OSMIUM,XIRECS,10008.0,7,-2,70056.0,9991.0,14.0,9989.0,30.0,,,10007.0,14.0,10010.0,30.0,,,9999.0,16.0,0.0,44.0,44.0,0.0,9999.0,9.0,17.0,1.0,buy_aggressor
79600,,,ASH_COATED_OSMIUM,XIRECS,10008.0,6,-2,60048.0,9992.0,11.0,,,,,10008.0,11.0,,,,,10000.0,16.0,0.0,11.0,11.0,0.0,10000.0,8.0,16.0,0.0,buy_aggressor
81200,,,ASH_COATED_OSMIUM,XIRECS,9991.0,6,-2,59946.0,9991.0,11.0,,,,,10007.0,11.0,10010.0,26.0,,,9999.0,16.0,0.0,11.0,37.0,0.0,9999.0,-8.0,0.0,-16.0,sell_aggressor
